LGA,POPULATION,LAND AREA,PER CAPITA WASTE,COLLECTION EFFICIENCY,ANNUAL RAINFALL
Agege,459939,11,0.7,0.6,1965
Ajeromi-Ifelodun,684105,12,0.7,0.5,1965
Alimosho,1277714,185,0.7,0.4,1965
Amuwo-Odofin,318166,135,0.7,0.4,1965
Apapa,217362,27,0.7,0.4,1965
Badagry,241093,441,0.5,0.3,2010
Epe,181409,1186,0.5,0.25,1984
Eti-Osa,287785,192,1,0.57,1965
Ibeju-Lekki,117481,455,0.5,0.3,1965
Ifako-Ijaiye,427878,27,1,0.4,1965
Ikeja,313196,46,0.7,0.4,1932
Ikorodu,535619,394,0.7,0.35,1935
Kosofe,665393,81,0.7,0.4,1965
Lagos Island,209437,7,1,0.55,1968
Lagos Mainland,317720,20,0.7,0.5,1965
Mushin,633009,18,0.7,0.45,1965
Ojo,598071,158,0.7,0.5,1965
Oshodi-Isolo,621509,45,0.7,0.42,1965
Somolu,402673,12,0.7,0.51,1965
Surulere,503975,23,1,0.47,1965
